vehicle_id,Start time,End time,Tour Duration,Service Duration,Travel Duration,Start time formatted,End time formatted,Tour Duration formatted,Service Duration formatted,Travel Duration formatted,veh_class,service_num,tour_km,first_service_dist,raumsplit,provider,veh_size,main_area_type,deliveries,missed deliveries,b2b_ration,b2c_ration,ration_check,vehicle_load_factor,vehicle_deliver_factor,vehicle_fix_cost,vehicle_km_cost,vehicle_time_cost,overtime_cost,vehicle_cost,deliveries_per_stop,Hannover
freight_gls_30890_veh_cep_size_m_7_1,26186,54950,28764,12184,16580,1970-01-01 07:16:26,1970-01-01 15:15:50,1970-01-01 07:59:24,1970-01-01 03:23:04,1970-01-01 04:36:20,van,78,135.67353647388538,31.50984384100505,"defaultdict(<class 'int'>, {4: 1, 8: 43, 5: 29, 7: 5})",gls,m,8,98.0,0.0,0.02040816326530612,0.9795918367346939,1.0,0.593939393939394,1.0,171.78,50.47055556828536,182.7313,11.2063,233.45685556828536,1.2564102564102564,False
freight_ups_31535_veh_cep_size_m_7_2,26207,58972,32765,14475,18290,1970-01-01 07:16:47,1970-01-01 16:22:52,1970-01-01 09:06:05,1970-01-01 04:01:15,1970-01-01 05:04:50,van,35,149.53905299714853,29.661203647651877,"defaultdict(<class 'int'>, {8: 2, 7: 3, 6: 30})",ups,m,6,114.0,0.0,0.7631578947368421,0.23684210526315788,1.0,0.6909090909090909,1.0,171.78,55.62852771493925,208.1487638888889,36.623763888888895,264.0322916038281,3.257142857142857,False
freight_hermes_31311_veh_cep_size_m_7_4,26236,54623,28387,8857,19530,1970-01-01 07:17:16,1970-01-01 15:10:23,1970-01-01 07:53:07,1970-01-01 02:27:37,1970-01-01 05:25:30,van,67,170.91758896852048,34.563050632719694,"defaultdict(<class 'int'>, {7: 55, 8: 12})",hermes,m,7,73.0,0.0,0.0,1.0,1.0,0.44242424242424244,1.0,171.78,63.581343096289615,180.3363027777778,8.81130277777778,244.17264587406737,1.0895522388059702,False
freight_hermes_31311_veh_cep_size_l_7_5,26236,55970,29734,9052,20682,1970-01-01 07:17:16,1970-01-01 15:32:50,1970-01-01 08:15:34,1970-01-01 02:30:52,1970-01-01 05:44:42,van,56,185.6497211825307,34.88566730358682,"defaultdict(<class 'int'>, {7: 56})",hermes,l,7,73.0,0.0,0.0,1.0,1.0,0.3173913043478261,1.0,189.15,71.66079237645685,188.89349444444446,17.368494444444448,278.17928682090127,1.3035714285714286,False
freight_hermes_30982_veh_cep_size_m_7_1,26240,56255,30015,12275,17740,1970-01-01 07:17:20,1970-01-01 15:37:35,1970-01-01 08:20:15,1970-01-01 03:24:35,1970-01-01 04:55:40,van,75,133.63106871385054,30.47731130406501,"defaultdict(<class 'int'>, {8: 38, 7: 37})",hermes,m,8,99.0,0.0,0.010101010101010102,0.98989898989899,1.0,0.6,1.0,171.78,49.7107575615524,190.678625,19.153625,240.64438256155242,1.32,False
freight_dpd_30163_veh_cep_size_m_7_1,26284,56181,29897,17423,12474,1970-01-01 07:18:04,1970-01-01 15:36:21,1970-01-01 08:18:17,1970-01-01 04:50:23,1970-01-01 03:27:54,van,63,88.87230207911374,19.356028391970064,"defaultdict(<class 'int'>, {3: 37, 2: 25, 5: 1})",dpd,m,3,140.0,0.0,0.12857142857142856,0.8714285714285714,1.0,0.8484848484848485,1.0,171.78,33.06049637343031,189.92899722222225,18.403997222222223,223.24449359565253,2.2222222222222223,True
freight_hermes_31832_veh_cep_size_m_7_5,26307,57824,31517,11713,19804,1970-01-01 07:18:27,1970-01-01 16:03:44,1970-01-01 08:45:17,1970-01-01 03:15:13,1970-01-01 05:30:04,van,70,146.69033322329477,33.62569455308304,"defaultdict(<class 'int'>, {7: 70})",hermes,m,7,95.0,0.0,0.0,1.0,1.0,0.5757575757575758,1.0,171.78,54.568803959065654,200.22049722222224,28.695497222222226,255.0443011812879,1.3571428571428572,False
freight_hermes_31832_veh_cep_size_m_7_4,26307,57609,31302,12365,18937,1970-01-01 07:18:27,1970-01-01 16:00:09,1970-01-01 08:41:42,1970-01-01 03:26:05,1970-01-01 05:15:37,van,85,177.40324250297942,33.988374271288585,"defaultdict(<class 'int'>, {7: 23, 8: 34, 6: 28})",hermes,m,8,101.0,0.0,0.009900990099009901,0.9900990099009901,1.0,0.6121212121212121,1.0,171.78,65.99400621110834,198.85465000000002,27.32965,265.10365621110833,1.188235294117647,False
freight_fedex_31275_veh_cep_size_m_7_1,26320,59197,32877,13762,19115,1970-01-01 07:18:40,1970-01-01 16:26:37,1970-01-01 09:07:57,1970-01-01 03:49:22,1970-01-01 05:18:35,van,77,187.76922165535262,32.250707603675615,"defaultdict(<class 'int'>, {7: 12, 6: 54, 8: 11})",fedex,m,6,111.0,0.0,0.9459459459459459,0.05405405405405406,1.0,0.6727272727272727,1.0,171.78,69.85015045579118,208.86027500000003,37.335275,278.9654254557912,1.4415584415584415,False
freight_gls_30890_veh_cep_size_m_7_3,26350,58000,31650,12212,19438,1970-01-01 07:19:10,1970-01-01 16:06:40,1970-01-01 08:47:30,1970-01-01 03:23:32,1970-01-01 05:23:58,van,73,160.5696010942033,31.596818999011443,"defaultdict(<class 'int'>, {4: 38, 6: 14, 8: 20, 7: 1})",gls,m,4,98.0,0.0,0.05102040816326531,0.9489795918367347,1.0,0.593939393939394,1.0,171.78,59.73189160704363,201.0654166666667,29.54041666666667,261.0523082737103,1.3424657534246576,False
